State,Year,Crime_Total_Offense,Crime_Murder_Slaughter,Crime_Forcible_Rape,Crime_Robbery,Crime_Aggrevated_Assault,Crime_Property,Crime_Burglary,Crime_Larcency,Crime_Motor_Vehicle_Theft,Eco_Civilian_non_institutional_population,Eco_Total_Civilian_labourforce,Eco_Percent_of_population_Civilian_labourforce,Eco_Total_Employment_Civilian_labourforce,Eco_Percent_of_population_Employment_Civilian_labourforce,Eco_Total_Unemployment_Civilian_labourforce,Eco_Rate_Unemployment_Civilian_labourforce,Eco_Per_capita_disposable_personal_income,Eco_Per_Capita_GDP,Arms_AnyOtherWeapons,Arms_Combinations,Arms_Derringers,Arms_DestructiveDevices,Arms_FlareGuns,Arms_Machineguns,Arms_Pistols,Arms_Receivers_Frames,Arms_Revolvers,Arms_Rifles,Arms_Shotguns,Arms_Silencers,Arms_TearGasLaunchers,Arms_UnknownTypes,Arms_Total_Weapons,RPPs_All_items,RPPs_Goods,RPPs_Services_Rents,RPPs_Services_Other,Marijuana_Use_PastYear, Marijuana_Use_PastMonth,Cocaine,Alcohol,Tobacco,Cigarette,Serious_Mental_Illness,Any_Mental_Illness,Serious_Suicide_Thoughts,Major_Depression,Economic_BigMacIndex,Economic_HappinessIndex,PF_Total_law_enforcement_employees,PF_Total_officers_Male,PF_Total_officers_Female,PF_Total_Officers,PF_Total_civilians_Male,PF_Total_civilians_Female,PF_Total_civilians,PF_Number_of_agencies,PF_estimated_population
HAWAII,2017,84361,39,567,1077,1894,40392,5549,29574,5269,1093885,683799,62.5,667154,61,16645,2.4,47320,56667,0,0,1,1,0,1,48,0,28,43,17,0,0,0,139,118.8,112.1,156.3,103.5,141,88,21,515,195,155,37,173,43,60,5.2,7,3729,2644,307,2951,235,543,778,4,1427538
IDAHO,2017,60046,32,707,196,2953,28079,5655,20278,2146,1303945,833906,64,807147,61.9,26759,3.2,37859,39482,2,0,8,0,0,13,654,5,196,311,158,2,0,5,1354,92.2,97.1,77.7,96.2,157,96,18,632,306,247,72,310,70,103,5.2,7,4506,2647,204,2851,341,1314,1655,111,1715911
ILLINOIS,2017,571174,997,5556,17567,32060,257497,43459,193157,20881,10040150,6478307,64.5,6159030,61.3,319277,4.9,47118,58976,7,4,86,0,0,13,9870,19,2217,1018,791,0,2,10,14037,98.5,98.7,97.4,98.9,1348,875,203,5738,2352,1917,402,1627,376,612,5.2,7,35332,20897,4318,25215,5362,4755,10117,354,7976833
INDIANA,2017,348862,397,2625,6600,16976,161132,30140,115591,15401,5174714,3334433,64.4,3215427,62.1,119006,3.6,40470,48474,6,3,67,6,0,22,5626,9,1044,858,546,7,0,6,8200,89.7,96.4,73.8,92.1,725,478,102,2705,1445,1155,259,1041,251,398,5.2,7,9972,7178,616,7794,864,1314,2178,97,3550712
IOWA,2017,142940,104,1234,1253,6639,66855,15078,46198,5579,2451003,1672660,68.2,1620442,66.1,52218,3.1,42332,53615,0,2,14,1,0,5,1266,3,268,337,299,0,0,2,2197,90,95,75.2,91.4,273,161,36,1503,677,539,109,450,111,183,5.2,7,8160,4818,434,5252,1157,1751,2908,238,3081556
KANSAS,2017,175216,160,1627,1785,8458,81593,13931,59816,7846,2216059,1476110,66.6,1422274,64.2,53836,3.6,43656,52073,0,4,22,0,0,10,1919,0,319,395,271,8,0,1,2949,90,95.4,74.2,92.9,255,145,36,1333,575,459,102,421,104,162,5.2,7,9613,6166,708,6874,912,1827,2739,322,2765707
KENTUCKY,2017,199722,263,1661,2958,5174,94833,20195,64394,10244,3473600,2053074,59.1,1952513,56.2,100561,4.9,36602,41449,0,3,51,1,0,12,3517,36,721,917,529,4,3,52,5846,87.4,94.6,67.1,91.7,434,266,57,1435,1213,964,187,747,158,264,5.2,7,9811,7151,508,7659,885,1267,2152,321,4076207
LOUISIANA,2017,341516,582,1867,5358,18285,157712,34265,112485,10962,3583058,2103217,58.7,1995433,55.7,107784,5.1,39781,49539,0,1,68,0,0,16,6601,4,1349,1346,766,0,0,6,10157,89.6,96.4,75.2,92.4,433,271,54,1884,1132,901,164,663,147,249,5.2,7,20049,12004,3414,15418,1439,3192,4631,182,4458555
MAINE,2017,41883,23,473,249,872,20133,3334,16006,793,1098863,697548,63.5,674003,61.3,23545,3.4,41617,42102,0,3,3,0,0,1,188,1,42,94,55,0,0,0,387,99,99.2,92.4,102.5,239,174,21,639,273,228,49,203,43,80,5.2,7,2900,2137,185,2322,220,358,578,132,1335392
MARYLAND,2017,299265,546,1691,11200,16836,134496,23508,97420,13568,4733156,3204581,67.7,3068886,64.8,135695,4.2,52284,59767,2,9,47,0,3,10,3948,32,1274,1832,1476,5,0,10,8648,109,103.2,121.7,106.4,718,507,105,2646,943,780,179,778,184,318,5.2,7,20060,13118,2417,15535,1670,2855,4525,150,6051172
